# Model:              test dfgsj
# Version:            hsi 0.0.1
# Date:               Jan 23 2021, 07:14
# Wavelengths:        100
# Base vectors:       5
# Test spectra:       16
# Test shape:         (100, 4, 4)
# Table:              Base vector parameters
# Base                    Label                     Weight                    Lower bound               Upper bound
0                         HHB                       0.005                     0                         0.05
1                         O2Hb                      0.005                     0                         0.05
2                         Water                     0.7                       0                         1
3                         Fat                       0.7                       0                         1
4                         Melanin                   0.025                     0                         0.05
# Table:              Spectral data
# Wavelength [nm]         Base 0                    Base 1                    Base 2                    Base 3                    Base 4                    Spec 0                    Spec 1                    Spec 2                    Spec 3                    Spec 4                    Spec 5                    Spec 6                    Spec 7                    Spec 8                    Spec 9                    Spec 10                   Spec 11                   Spec 12                   Spec 13                   Spec 14                   Spec 15
500                       0.642076                  0.642579                  0.436255                  0.468806                  0.803214                  0.642076                  0.642579                  0.949609                  0.950196                  0.436255                  0.468806                  0.803214                  1.04428                   1.21363                   1.214                     1.00998                   1.0109                    1.03156                   1.03109                   0.985732                  0.986131
505                       0.654296                  0.640516                  0.436514215766991         0.466425963586517         0.793436                  0.654296                  0.640516                  0.948987                  0.939368                  0.436514215766991         0.466425963586517         0.793436                  1.02892                   1.21211                   1.2008                    1.00065                   1.00333                   1.02089                   1.02318                   0.975202                  0.978696
510                       0.666893                  0.64059                   0.436836                  0.464214                  0.782620205031246         0.666893                  0.64059                   0.949581                  0.931251                  0.436836                  0.464214                  0.782620205031246         1.01397037481612          1.2087                    1.18909                   0.992791                  0.997234                  1.01371                   1.0183                    0.966468                  0.971812
515                       0.677831                  0.646371                  0.437191284233009         0.462200536413483         0.772029                  0.677831                  0.646371                  0.950919                  0.926609                  0.437191284233009         0.462200536413483         0.772029                  0.999339                  1.20764                   1.18005                   0.990136                  0.99569                   1.0119                    1.0188                    0.963635                  0.970365
520                       0.691658                  0.662457                  0.437551                  0.460416                  0.762551282390638         0.691658                  0.662457                  0.95315                   0.931061                  0.437551                  0.460416                  0.762551282390638         0.984954938143564         1.20844                   1.18245                   0.998384                  1.00523                   1.02212                   1.02818                   0.970966                  0.976873
525                       0.705075                  0.689702                  0.437897147300974         0.45886876575955          0.753582                  0.705075                  0.689702                  0.954982                  0.944501                  0.437897147300974         0.45886876575955          0.753582                  0.970832                  1.20806                   1.19555                   1.01783                   1.02224                   1.04346                   1.04586                   0.988741                  0.991788
530                       0.719358                  0.72211                   0.438256                  0.457479                  0.744371915406203         0.719358                  0.72211                   0.958724                  0.961514                  0.438256                  0.457479                  0.744371915406203         0.95700337260962          1.20966                   1.21097                   1.04274                   1.04238                   1.06872                   1.06838                   1.0076                    1.00916
535                       0.733096                  0.748497                  0.438657876563097         0.456144900548318         0.735089                  0.733096                  0.748497                  0.962852                  0.975319                  0.438657876563097         0.456144900548318         0.735089                  0.943495                  1.21149                   1.22438                   1.06153                   1.05804                   1.08954                   1.08673                   1.02653                   1.02438
540                       0.745116                  0.762472                  0.439105                  0.454765                  0.726196                  0.745116                  0.762472                  0.966168                  0.980112                  0.439105                  0.454765                  0.726196                  0.930765                  1.21216                   1.22691                   1.06906                   1.06615                   1.10032                   1.09448                   1.03463                   1.03041
545                       0.758052                  0.758447                  0.439637221446639         0.453332132047178         0.718099                  0.758052                  0.758447                  0.969411                  0.971473                  0.439637221446639         0.453332132047178         0.718099                  0.919619                  1.21531                   1.21628                   1.06106                   1.05994                   1.09009                   1.08952                   1.0257                    1.02567
550                       0.767884                  0.740086                  0.440473                  0.452216                  0.710234618377486         0.767884                  0.740086                  0.971024                  0.949253                  0.440473                  0.452216                  0.710234618377486         0.907156752241773         1.21333                   1.18889                   1.03714                   1.04298                   1.06547                   1.07025                   1.00162                   1.00664
555                       0.772277                  0.717708                  0.441673862650347         0.45168919626297          0.702678                  0.772277                  0.717708                  0.969961                  0.925574                  0.441673862650347         0.45168919626297          0.702678                  0.894745                  1.21004                   1.15941                   1.00813                   1.02129                   1.03611                   1.0495                    0.975594                  0.987068
