Tabulated Molar Extinction Coefficient for Hemoglobin in Water

These values for the molar extinction coefficient e in [cm-1/(moles/liter)] were compiled by Scott Prahl (scott.prahl@oit.edu) using data from

W. B. Gratzer, Med. Res. Council Labs, Holly Hill, London
N. Kollias, Wellman Laboratories, Harvard Medical School, Boston

To convert this data to absorbance A, multiply by the molar concentration and the pathlength. For example, if x is the number of grams per liter
and a 1 cm cuvette is being used, then the absorbance is given by

        (e) [(1/cm)/(moles/liter)] (x) [g/liter] (1) [cm]
  A =  ---------------------------------------------------
                          64,500 [g/mole]

using 64,500 as the gram molecular weight of hemoglobin.

To convert this data to absorption coefficient in (cm-1), multiply by the molar concentration and 2.303,

µa = (2.303) e (x g/liter)/(64,500 g Hb/mole)

where x is the number of grams per liter. A typical value of x for whole blood is x=150 g Hb/liter.

lambda	µa HbO2	µa Hb	Hb02	Hb
nm	cm-1	cm-1	cm-1/M	cm-1/M
250	568.3161302	603.7930419	106112	112736
252	565.3168744	603.7930419	105552	112736
254	576.6069302	603.7930419	107660	112736
256	588.0041023	609.6201674	109788	113824
258	604.9070512	616.1328372	112944	115040
260	623.2882047	622.8597395	116376	116296
262	643.7045674	629.6509116	120188	117564
264	666.3275256	636.6777395	124412	118876
266	689.2718326	643.8116837	128696	120208
268	712.6660279	650.9670512	133064	121544
270	728.754893	658.1224186	136068	122880
272	734.9890605	659.2792744	137232	123096
274	741.2874977	653.1522233	138408	121952
276	736.0173767	647.0251721	137424	120808
278	727.4266512	641.8407442	135820	119840
280	706.6246698	636.6563163	131936	118872
282	684.0445581	629.9936837	127720	117628
284	654.9089302	614.9545581	122280	114820
286	623.9951721	599.8940093	116508	112008
288	581.0201209	573.821907	108484	107140
290	561.0322233	526.8192837	104752	98364
292	529.8828093	490.7853674	98936	91636
294	472.0400186	459.6359535	88136	85820
296	424.8017395	412.9332558	79316	77100
298	379.6415163	371.9291442	70884	69444
300	353.3337581	345.1286512	65972	64440
302	338.5302884	328.3113953	63208	61300
304	331.803386	315.0718233	61952	58828
306	333.9457116	304.7886605	62352	56908
308	336.6450419	308.602	62856	57620
310	339.3015256	316.8285302	63352	59156
312	353.3337581	333.388707	65972	62248
314	369.6368558	349.970307	69016	65344
316	387.7823535	365.8663628	72404	68312
318	404.5567628	381.3768	75536	71208
320	421.7810605	399.050986	78752	74508
322	440.5478326	419.2745395	82256	78284
324	460.4500372	439.498093	85972	82060
326	480.9306698	458.4148279	89796	85592
328	502.2039628	474.0752279	93768	88516
330	522.2561302	486.6078326	97512	90856
332	540.7444	499.119014	100964	93192
334	554.3481674	511.6516186	103504	95532
336	562.1890791	534.467386	104968	99792
338	570.137107	559.5540186	106452	104476
340	577.8066326	580.9558512	107884	108472
342	584.1050698	594.4739256	109060	110996
344	589.6322698	608.0134233	110092	113524
346	583.955107	621.5529209	109032	116052
348	578.342214	636.0136186	107984	118752
350	570.8012279	653.9020372	106576	122092
352	562.5746977	671.8118791	105040	125436
354	555.3764837	689.7002977	103696	128776
356	543.9793116	707.6101395	101568	132120
358	523.9485674	715.7081302	97828	133632
360	507.4312372	722.7135349	94744	134940
362	494.0631256	728.6263535	92248	136044
364	481.1449023	733.5965488	89836	136972
366	473.9038419	738.5667442	88484	137900
368	468.6979907	743.6869023	87512	138856
370	472.2542512	749.6425674	88176	139968
372	490.5497116	755.6196558	91592	141084
374	509.5521395	761.5753209	95140	142196
376	529.8828093	767.5524093	98936	143312
378	553.9625488	773.5080744	103432	144424
380	586.8044	777.8355721	109564	145232
382	626.4588465	777.8355721	116968	145232
384	671.726186	796.2381488	125420	148668
386	723.7418512	824.302614	135132	153908
388	793.1960465	854.4879814	148100	159544
390	898.4270791	898.5984651	167748	167780
392	1016.21214	964.0679349	189740	180004
394	1135.753907	1025.852605	212060	191540
396	1240.470781	1082.53854	231612	202124
398	1330.405609	1139.245898	248404	212712
400	1425.88906	1195.931833	266232	223296
402	1522.250865	1264.978986	284224	236188
404	1653.42546	1356.99187	308716	253368
406	1897.072149	1449.004753	354208	270548
408	2261.867349	1539.025274	422320	287356
410	2500.308186	1627.931786	466840	303956
412	2678.97814	1721.058679	500200	321344
414	2807.94614	1834.880437	524280	342596
416	2795.092186	1948.702195	521880	363848
418	2761.029209	2065.630326	515520	385680
420	2572.718791	2182.815535	480360	407560
422	2313.06893	2302.357302	431880	429880
424	2015.050019	2470.101395	376236	461200
426	1746.166735	2580.645395	326032	481840
428	1516.2952	2682.40586	283112	500840
430	1317.915851	2831.083256	246072	528600
432	1146.786884	2957.266233	214120	552160
434	885.4874326	2957.266233	165332	552160
436	711.3592093	2929.844465	132820	547040
438	638.0916744	2686.262047	119140	501560
440	549.3993953	2213.450791	102580	413280
442	496.9124186	1945.44586	92780	363240
444	436.1989116	1514.217144	81444	282724
446	408.7771442	1270.527609	76324	237224
448	359.0751907	928.2696744	67044	173320
450	336.4308093	553.2127349	62816	103292
452	315.2646326	335.488186	58864	62640
454	286.8145488	193.7197907	53552	36170
456	265.0913674	164.4170614	49496	30698.8
458	254.3797395	138.6427423	47496	25886.4
460	238.2266047	125.2660614	44480	23388.8
462	221.3022326	111.8893805	41320	20891.2
464	213.1999572	103.1572614	39807.2	19260.8
466	198.5571619	97.16731907	37073.2	18142.4
468	186.7615172	91.18594605	34870.8	17025.6
470	177.8622967	86.53067256	33209.2	16156.4
472	169.3508372	81.99751163	31620	15310
474	161.2828391	80.5964307	30113.6	15048.4
476	154.5195172	79.22748465	28850.8	14792.8
478	148.4524512	78.50123628	27718	14657.2
480	142.6210409	77.92709302	26629.2	14550
482	137.6529879	79.7009386	25701.6	14881.2
484	134.8615377	81.47478419	25180.4	15212.4
486	132.1257879	83.24862977	24669.6	15543.6
488	129.4757312	85.14673023	24174.8	15898
490	126.84924	89.3564	23684.4	16684
492	123.6486056	93.56392744	23086.8	17469.6
494	120.2787274	97.77359721	22457.6	18255.6
496	117.0266772	101.9811247	21850.4	19041.2
498	113.8646047	106.5335665	21260	19891.2
500	112.1121823	111.7329907	20932.8	20862
502	110.3104865	116.9324149	20596.4	21832.8
504	109.3550093	122.1318391	20418	22803.6
506	106.8270651	127.3312633	19946	23774.4
508	107.0948558	132.5306874	19996	24745.2
510	107.3048037	138.0386065	20035.2	25773.6
512	107.9217935	144.2684893	20150.4	26936.8
514	109.4149944	150.4983721	20429.2	28100
516	112.4806623	156.7282549	21001.6	29263.2
518	120.5572298	162.9581377	22509.6	30426.4
520	129.6235516	169.1880205	24202.4	31589.6
522	141.6634214	175.9449153	26450.4	32851.2
524	156.7603898	184.227146	29269.2	34397.6
526	174.0446726	192.5093767	32496.4	35944
528	192.7557442	200.7894651	35990	37490
530	214.001187	209.0716958	39956.8	39036.4
532	234.991693	217.3603535	43876	40584
534	251.316214	225.4154977	46924	42088
536	266.4624558	233.4706419	49752	43592
538	276.9598512	241.5043628	51712	45092
540	285.1221116	249.5380837	53236	46592
542	285.4220372	257.8717302	53292	48148
544	279.0164837	266.2268	52096	49708
546	267.0837302	274.5818698	49868	51268
548	249.9022791	281.1588093	46660	52496
550	230.385693	286.0647349	43016	53412
552	212.4929898	289.6424186	39675.2	54080
554	197.1753619	291.9989767	36815.2	54520
556	184.6513265	292.106093	34476.8	54540
558	179.1841116	290.092307	33456	54164
560	174.6702316	288.0785209	32613.2	53788
562	174.7066512	279.9805302	32620	52276
564	181.6456437	270.8542233	33915.6	50572
566	195.4615014	261.5136837	36495.2	48828
568	215.1537581	251.4447535	40172	46948
570	238.3122977	241.3972465	44496	45072
572	263.3560837	232.1209767	49172	43340
574	285.5077302	223.4231349	53308	41716
576	297.461907	214.725293	55540	40092
578	293.112986	206.0253088	54728	38467.6
580	268.3477023	198.2722326	50104	37020
582	231.9281674	191.0761609	43304	35676.4
584	185.523253	183.8800893	34639.6	34332.8
586	142.4667935	175.9470577	26600.4	32851.6
588	105.8480223	166.4329898	19763.2	31075.2
590	77.12800558	151.7002167	14400.8	28324.4
592	56.06680279	136.4125814	10468.4	25470
594	41.12622419	120.9064288	7678.8	22574.8
596	30.44030419	106.0451163	5683.6	19800
598	24.12472837	91.36161674	4504.4	17058.4
600	17.13860465	78.60835256	3200	14677.2
602	14.26788837	72.95904	2664	13622.4
604	11.39717209	67.30972744	2128	12567.6
606	9.582622326	61.66255721	1789.2	11513.2
608	8.82423907	56.11607628	1647.6	10477.6
610	8.065855814	50.57816465	1506	9443.6
612	7.307472558	46.01286884	1364.4	8591.2
614	6.549089302	41.57182791	1222.8	7762
616	5.944953488	39.33738233	1110	7344.8
618	5.495065116	37.10079442	1026	6927.2
620	5.045176744	34.86420651	942	6509.6
622	4.595288372	33.16962698	858	6193.2
624	4.1454	31.63572186	774	5906.8
626	3.789773953	30.09967442	707.6	5620
628	3.528410233	28.74358233	658.8	5366.8
630	3.267046512	27.57601488	610	5148.8
632	3.005682791	26.40844744	561.2	4930.8
634	2.74431907	25.33728465	512.4	4730.8
636	2.564363721	24.64959814	478.8	4602.4
