%Extinktion (L/(mmol*cm))
% Quelle: Clin. Chem 37/9 - Article von Zijlstra		
%nm	O2Hb	COHb	HHb	MetHb
450	16.200	10.070	13.480	9.799
452	14.900	9.379	10.580	9.422
454	13.800	8.809	8.520	9.127
456	12.810	8.311	7.022	8.874
458	11.960	7.897	5.932	8.676
460	11.170	7.529	5.131	8.495
462	10.500	7.217	4.552	8.351
464	9.875	6.933	4.120	8.211
466	9.333	6.690	3.813	8.108
468	8.834	6.469	3.602	8.008
470	8.399	6.275	3.457	7.954
472	7.993	6.097	3.366	7.907
474	7.637	5.952	3.318	7.912
476	7.303	5.816	3.297	7.934
478	7.002	5.710	3.302	7.999
480	6.722	5.615	3.322	8.074
482	6.482	5.542	3.352	8.193
484	6.256	5.466	3.405	8.304
486	6.073	5.403	3.465	8.447
488	5.888	5.339	3.538	8.569
490	5.741	5.292	3.633	8.716
492	5.595	5.252	3.736	8.828
494	5.473	5.235	3.861	8.947
496	5.353	5.225	3.998	9.018
498	5.254	5.242	4.158	9.088
500	5.154	5.279	4.330	9.106
502	5.070	5.345	4.525	9.098
504	4.984	5.429	4.727	9.031
506	4.927	5.562	4.948	8.949
508	4.882	5.723	5.160	8.813
510	4.878	5.940	5.383	8.674
512	4.921	6.225	5.593	8.492
514	5.042	6.596	5.816	8.317
516	5.235	7.056	6.025	8.119
518	5.548	7.634	6.249	7.929
520	5.981	8.297	6.478	7.732
522	6.579	9.050	6.737	7.549
524	7.320	9.850	7.011	7.366
526	8.230	10.690	7.317	7.214
528	9.250	11.500	7.644	7.067
530	10.350	12.290	8.010	6.944
532	11.420	12.990	8.411	6.826
534	12.400	13.610	8.866	6.728
536	13.220	14.050	9.355	6.611
538	13.900	14.300	9.901	6.496
540	14.320	14.270	10.470	6.344
542	14.520	14.040	11.060	6.170
544	14.340	13.590	11.620	5.948
546	13.830	13.080	12.150	5.709
548	12.990	12.550	12.590	5.437
550	12.010	12.110	12.960	5.161
552	11.020	11.780	13.210	4.895
554	10.170	11.630	13.350	4.659
556	9.482	11.650	13.360	4.457
558	9.015	11.870	13.290	4.297
560	8.767	12.250	13.110	4.176
562	8.769	12.800	12.880	4.094
564	9.042	13.430	12.590	4.043
566	9.614	14.040	12.250	4.019
568	10.500	14.430	11.850	4.009
570	11.680	14.460	11.420	4.010
572	13.050	13.990	10.960	4.010
574	14.370	13.070	10.490	4.011
576	15.260	11.760	10.020	4.004
578	15.360	10.240	9.564	3.986
580	14.420	8.638	9.141	3.954
582	12.600	7.089	8.734	3.900
584	10.280	5.710	8.333	3.829
586	7.938	4.550	7.903	3.744
588	5.887	3.618	7.422	3.652
590	4.262	2.891	6.875	3.557
592	3.062	2.330	6.271	3.468
594	2.216	1.899	5.629	3.386
596	1.634	1.567	4.976	3.319
598	1.234	1.307	4.342	3.264
600	0.961	1.104	3.759	3.226
602	0.767	0.939	3.242	3.200
604	0.625	0.806	2.806	3.187
606	0.519	0.697	2.452	3.185
608	0.460	0.607	2.169	3.194
610	0.397	0.530	1.946	3.215
612	0.346	0.466	1.768	3.250
614	0.305	0.422	1.627	3.302
616	0.271	0.384	1.514	3.375
618	0.242	0.348	1.418	3.458
620	0.218	0.316	1.336	3.549
622	0.197	0.287	1.270	3.643
624	0.180	0.261	1.212	3.730
626	0.164	0.238	1.163	3.806
628	0.150	0.216	1.120	3.862
630	0.139	0.196	1.082	3.895
632	0.129	0.179	1.022	3.900
634	0.120	0.163	0.996	3.855
636	0.114	0.148	0.974	3.767
638	0.108	0.136	0.953	3.620
640	0.104	0.125	0.936	3.416
642	0.101	0.116	0.920	3.157
644	0.099	0.108	0.907	2.861
646	0.099	0.102	0.895	2.541
648	0.098	0.096	0.884	2.239
650	0.098	0.091	0.873	1.971
652	0.099	0.086	0.864	1.704
654	0.099	0.082	0.852	1.468
656	0.098	0.077	0.836	1.227
658	0.098	0.071	0.828	1.083
660	0.100	0.069	0.815	0.945
662	0.101	0.066	0.799	0.808
664	0.101	0.062	0.782	0.690
666	0.101	0.059	0.763	0.596
668	0.102	0.056	0.743	0.523
670	0.102	0.053	0.721	0.459
672	0.102	0.050	0.699	0.409
674	0.103	0.047	0.677	0.370
676	0.103	0.045	0.655	0.339
678	0.103	0.043	0.633	0.313
680	0.103	0.041	0.612	0.292
682	0.103	0.039	0.591	0.277
684	0.103	0.037	0.571	0.264
686	0.103	0.036	0.551	0.253
688	0.103	0.034	0.533	0.245
690	0.103	0.033	0.516	0.238
692	0.103	0.032	0.500	0.233
694	0.103	0.031	0.485	0.229
696	0.104	0.030	0.471	0.226
698	0.104	0.029	0.459	0.223
700	0.105	0.028	0.447	0.222
702	0.106	0.027	0.436	0.221
704	0.106	0.027	0.426	0.219
706	0.108	0.026	0.416	0.219
708	0.109	0.025	0.406	0.219
710	0.110	0.025	0.389	0.218
712	0.112	0.025	0.387	0.219
714	0.113	0.024	0.379	0.220
716	0.115	0.024	0.370	0.221
718	0.116	0.024	0.361	0.221
720	0.118	0.023	0.353	0.222
722	0.120	0.023	0.346	0.224
724	0.122	0.023	0.340	0.225
726	0.123	0.022	0.334	0.227
728	0.125	0.022	0.330	0.229
730	0.127	0.022	0.327	0.231
732	0.129	0.022	0.326	0.233
734	0.131	0.021	0.327	0.235
736	0.133	0.021	0.329	0.238
738	0.135	0.021	0.333	0.241
740	0.137	0.021	0.339	0.245
742	0.139	0.020	0.346	0.248
744	0.141	0.020	0.355	0.251
746	0.143	0.020	0.366	0.254
748	0.145	0.020	0.377	0.258
750	0.148	0.019	0.388	0.261
752	0.150	0.019	0.399	0.265
754	0.152	0.019	0.409	0.269
756	0.154	0.019	0.415	0.274
758	0.157	0.019	0.417	0.278
760	0.159	0.018	0.414	0.283
762	0.161	0.018	0.407	0.287
764	0.163	0.018	0.396	0.292
766	0.166	0.018	0.381	0.298
768	0.168	0.018	0.364	0.302
770	0.171	0.018	0.347	0.309
772	0.173	0.018	0.330	0.314
774	0.175	0.017	0.314	0.319
776	0.178	0.017	0.299	0.325
778	0.180	0.017	0.285	0.331
780	0.183	0.017	0.273	0.338
782	0.185	0.017	0.262	0.345
784	0.188	0.017	0.253	0.351
786	0.190	0.017	0.245	0.357
788	0.193	0.016	0.238	0.364
790	0.196	0.016	0.233	0.371
792	0.198	0.016	0.228	0.377
794	0.201	0.016	0.223	0.385
796	0.203	0.016	0.219	0.392
798	0.206	0.016	0.216	0.398
800	0.208	0.015	0.215	0.406
805	0.21	0.01	0.2	0.400
840	0.25	0.01	0.19	0.510
845	0.25	0.01	0.19	0.510
880	0.28	0.01	0.2	0.580
