# melanin for skin by Hermann (no reference):
# mu_a = 519 * (wavelen [nm] / 500) ** -3.75
# lambda	absorption
# [nm]	[cm-1]
300.0 3.52452e+03
305.0 3.31269e+03
310.0 3.11673e+03
315.0 2.93522e+03
320.0 2.76689e+03
325.0 2.61061e+03
330.0 2.46534e+03
335.0 2.33017e+03
340.0 2.20424e+03
345.0 2.08681e+03
350.0 1.97720e+03
355.0 1.87477e+03
360.0 1.77898e+03
365.0 1.68930e+03
370.0 1.60527e+03
375.0 1.52647e+03
380.0 1.45250e+03
385.0 1.38302e+03
390.0 1.31769e+03
395.0 1.25622e+03
400.0 1.19834e+03
405.0 1.14380e+03
410.0 1.09236e+03
415.0 1.04382e+03
420.0 9.97976e+02
425.0 9.54655e+02
430.0 9.13689e+02
435.0 8.74924e+02
440.0 8.38219e+02
445.0 8.03443e+02
450.0 7.70474e+02
455.0 7.39200e+02
460.0 7.09517e+02
465.0 6.81328e+02
470.0 6.54543e+02
475.0 6.29077e+02
480.0 6.04854e+02
485.0 5.81800e+02
490.0 5.59847e+02
495.0 5.38934e+02
500.0 5.19000e+02
505.0 4.99991e+02
510.0 4.81855e+02
515.0 4.64545e+02
520.0 4.48015e+02
525.0 4.32223e+02
530.0 4.17129e+02
535.0 4.02697e+02
540.0 3.88891e+02
545.0 3.75680e+02
550.0 3.63032e+02
555.0 3.50918e+02
560.0 3.39312e+02
565.0 3.28188e+02
570.0 3.17522e+02
575.0 3.07291e+02
580.0 2.97475e+02
585.0 2.88052e+02
590.0 2.79004e+02
595.0 2.70313e+02
600.0 2.61962e+02
605.0 2.53935e+02
610.0 2.46217e+02
615.0 2.38794e+02
620.0 2.31652e+02
625.0 2.24779e+02
630.0 2.18161e+02
635.0 2.11789e+02
640.0 2.05651e+02
645.0 1.99736e+02
650.0 1.94035e+02
655.0 1.88538e+02
660.0 1.83238e+02
665.0 1.78125e+02
670.0 1.73191e+02
675.0 1.68429e+02
680.0 1.63831e+02
685.0 1.59392e+02
690.0 1.55103e+02
695.0 1.50960e+02
700.0 1.46956e+02
705.0 1.43086e+02
710.0 1.39343e+02
715.0 1.35724e+02
720.0 1.32223e+02
725.0 1.28836e+02
730.0 1.25558e+02
735.0 1.22385e+02
740.0 1.19312e+02
745.0 1.16337e+02
750.0 1.13455e+02
755.0 1.10663e+02
760.0 1.07958e+02
765.0 1.05335e+02
770.0 1.02793e+02
775.0 1.00328e+02
780.0 9.79377e+01
785.0 9.56189e+01
790.0 9.33691e+01
795.0 9.11860e+01
800.0 8.90671e+01
805.0 8.70102e+01
810.0 8.50131e+01
815.0 8.30738e+01
820.0 8.11901e+01
825.0 7.93602e+01
830.0 7.75822e+01
835.0 7.58544e+01
840.0 7.41750e+01
845.0 7.25424e+01
850.0 7.09551e+01
855.0 6.94116e+01
860.0 6.79103e+01
865.0 6.64499e+01
870.0 6.50291e+01
875.0 6.36465e+01
880.0 6.23010e+01
885.0 6.09913e+01
890.0 5.97162e+01
895.0 5.84748e+01
900.0 5.72658e+01
905.0 5.60884e+01
910.0 5.49414e+01
915.0 5.38240e+01
920.0 5.27352e+01
925.0 5.16742e+01
930.0 5.06400e+01
935.0 4.96319e+01
940.0 4.86492e+01
945.0 4.76909e+01
950.0 4.67564e+01
955.0 4.58450e+01
960.0 4.49560e+01
965.0 4.40887e+01
970.0 4.32425e+01
975.0 4.24168e+01
980.0 4.16109e+01
985.0 4.08243e+01
990.0 4.00565e+01
995.0 3.93069e+01
1000.0 3.85749e+01
1005.0 3.78601e+01
1010.0 3.71621e+01
1015.0 3.64802e+01
1020.0 3.58141e+01
1025.0 3.51634e+01
1030.0 3.45275e+01
1035.0 3.39062e+01
1040.0 3.32989e+01
1045.0 3.27053e+01
1050.0 3.21251e+01
1055.0 3.15579e+01
1060.0 3.10033e+01
1065.0 3.04610e+01
1070.0 2.99306e+01
1075.0 2.94119e+01
1080.0 2.89045e+01
1085.0 2.84082e+01
1090.0 2.79226e+01
1095.0 2.74474e+01
1100.0 2.69825e+01
