# melanin for skin by Jaques (https://omlc.org/spectra/melanin/mua.html):
# mu_a = 1.7e12 * wavelen [nm] ** -3.48
# lambda	absorption
# [nm]	[cm-1]
300.0 4.07443e+03
305.0 3.84667e+03
310.0 3.63505e+03
315.0 3.43818e+03
320.0 3.25482e+03
325.0 3.08386e+03
330.0 2.92429e+03
335.0 2.77519e+03
340.0 2.63574e+03
345.0 2.50518e+03
350.0 2.38282e+03
355.0 2.26806e+03
360.0 2.16031e+03
365.0 2.05906e+03
370.0 1.96384e+03
375.0 1.87422e+03
380.0 1.78979e+03
385.0 1.71019e+03
390.0 1.63510e+03
395.0 1.56420e+03
400.0 1.49720e+03
405.0 1.43386e+03
410.0 1.37392e+03
415.0 1.31717e+03
420.0 1.26340e+03
425.0 1.21243e+03
430.0 1.16407e+03
435.0 1.11817e+03
440.0 1.07457e+03
445.0 1.03313e+03
450.0 9.93732e+02
455.0 9.56245e+02
460.0 9.20559e+02
465.0 8.86569e+02
470.0 8.54178e+02
475.0 8.23294e+02
480.0 7.93833e+02
485.0 7.65716e+02
490.0 7.38867e+02
495.0 7.13219e+02
500.0 6.88705e+02
505.0 6.65265e+02
510.0 6.42843e+02
515.0 6.21384e+02
520.0 6.00838e+02
525.0 5.81158e+02
530.0 5.62301e+02
535.0 5.44224e+02
540.0 5.26888e+02
545.0 5.10257e+02
550.0 4.94296e+02
555.0 4.78971e+02
560.0 4.64253e+02
565.0 4.50112e+02
570.0 4.36520e+02
575.0 4.23453e+02
580.0 4.10884e+02
585.0 3.98792e+02
590.0 3.87154e+02
595.0 3.75950e+02
600.0 3.65159e+02
605.0 3.54765e+02
610.0 3.44747e+02
615.0 3.35092e+02
620.0 3.25781e+02
625.0 3.16801e+02
630.0 3.08137e+02
635.0 2.99776e+02
640.0 2.91704e+02
645.0 2.83910e+02
650.0 2.76382e+02
655.0 2.69110e+02
660.0 2.62081e+02
665.0 2.55288e+02
670.0 2.48719e+02
675.0 2.42366e+02
680.0 2.36221e+02
685.0 2.30274e+02
690.0 2.24520e+02
695.0 2.18948e+02
700.0 2.13554e+02
705.0 2.08330e+02
710.0 2.03268e+02
715.0 1.98364e+02
720.0 1.93612e+02
725.0 1.89005e+02
730.0 1.84538e+02
735.0 1.80206e+02
740.0 1.76004e+02
745.0 1.71927e+02
750.0 1.67972e+02
755.0 1.64132e+02
760.0 1.60405e+02
765.0 1.56786e+02
770.0 1.53271e+02
775.0 1.49858e+02
780.0 1.46541e+02
785.0 1.43319e+02
790.0 1.40187e+02
795.0 1.37142e+02
800.0 1.34182e+02
805.0 1.31304e+02
810.0 1.28505e+02
815.0 1.25783e+02
820.0 1.23134e+02
825.0 1.20556e+02
830.0 1.18048e+02
835.0 1.15606e+02
840.0 1.13229e+02
845.0 1.10914e+02
850.0 1.08660e+02
855.0 1.06465e+02
860.0 1.04326e+02
865.0 1.02243e+02
870.0 1.00213e+02
875.0 9.82338e+01
880.0 9.63051e+01
885.0 9.44249e+01
890.0 9.25916e+01
895.0 9.08040e+01
900.0 8.90605e+01
905.0 8.73598e+01
910.0 8.57008e+01
915.0 8.40821e+01
920.0 8.25025e+01
925.0 8.09610e+01
930.0 7.94563e+01
935.0 7.79874e+01
940.0 7.65533e+01
945.0 7.51530e+01
950.0 7.37855e+01
955.0 7.24498e+01
960.0 7.11451e+01
965.0 6.98705e+01
970.0 6.86251e+01
975.0 6.74082e+01
980.0 6.62189e+01
985.0 6.50565e+01
990.0 6.39202e+01
995.0 6.28094e+01
1000.0 6.17233e+01
1005.0 6.06612e+01
1010.0 5.96225e+01
1015.0 5.86067e+01
1020.0 5.76130e+01
1025.0 5.66409e+01
1030.0 5.56898e+01
1035.0 5.47591e+01
1040.0 5.38484e+01
1045.0 5.29571e+01
1050.0 5.20847e+01
1055.0 5.12307e+01
1060.0 5.03947e+01
1065.0 4.95761e+01
1070.0 4.87746e+01
1075.0 4.79896e+01
1080.0 4.72209e+01
1085.0 4.64679e+01
1090.0 4.57304e+01
1095.0 4.50078e+01
1100.0 4.42999e+01
