Quelldaten aus Anesthes. 2006;105(5):892-897		
Abgelesene Werte:		Skalierung mittels Grafik auf Basis 630nm Hb und 658nm Meth
		
Lambda in nm	Extinktionskoeff.in cm-1Mol-1)	µa [cm-1]
600	2,823499278	77,8608161
604	2,685795594	74,06349929
608	2,685795594	74,06349929
612	2,823499278	77,8608161
616	2,968263182	81,85282551
620	3,12044929	86,04950961
624	3,280438146	90,46136231
628	3,486298063	96,1381554
632	3,625444838	99,97526684
636	3,486298063	96,1381554
640	3,280438146	90,46136231
644	2,823499278	77,8608161
648	2,091699712	57,68071125
652	1,71253888	47,22497216
656	1,268680006	34,98511984
660	0,939861265	25,91761423
664	0,662309039	18,26383406
668	0,490650604	13,53018105
672	0,363482907	10,02340465
676	0,283080773	7,806235394
680	0,256142076	7,063373878
684	0,231766934	6,391204983
688	0,220463528	6,079502237
692	0,209711394	5,783001415
696	0,201488493	5,556246686
700	0,199483649	5,500961107
704	0,195533608	5,392034779
708	0,197498754	5,44622563
712	0,19848872	5,473524949
716	0,199483649	5,500961107
720	0,203513486	5,612087893
724	0,209711394	5,783001415
728	0,213947846	5,899825793
732	0,224917186	6,202316329
736	0,229460815	6,32761143
740	0,236448937	6,520315888
744	0,246098601	6,786415027
748	0,253593419	6,993092134
752	0,263942763	7,278485638
756	0,274714472	7,575526272
760	0,288799384	7,963931809
764	0,303606445	8,372251325
768	0,315996859	8,713929383
772	0,328892935	9,069551587
776	0,345755637	9,534557441
780	0,363482907	10,02340465
784	0,382119075	10,5373156
788	0,401710738	11,07757532
792	0,422306888	11,64553476
796	0,435168048	12,00019409
800	0,452927593	12,4899313
804	0,471411919	12,99965507
808	0,490650604	13,53018105
812	0,503071483	13,87269922
816	0,515806798	14,22388827
820	0,526226787	14,51122987
824	0,547702509	15,1034444
828	0,558766834	15,40855422
832	0,575783818	15,87781455
836	0,587415422	16,19856768
840	0,605304885	16,69188751
844	0,623739163	17,20023117
848	0,63633953	17,54769889
852	0,645956571	17,81289839
856	0,655718954	18,08210588
860	0,665628877	18,35538191
864	0,675688569	18,63278799
868	0,692793707	19,10447926
872	0,703263943	19,39320649
876	0,717470817	19,78497525
880	0,724681519	19,98381755
884	0,739321056	20,38751745
888	0,746751356	20,59241541
892	0,754256332	20,79937262
896	0,761836735	21,00840979
900	0,769493321	21,21954782
904	0,777226857	21,43280782
908	0,785038117	21,64821112
912	0,792927881	21,86577926
916	0,804911452	22,19623819
920	0,813000946	22,4193141
924	0,817076131	22,53169138
928	0,825287882	22,75813864
932	0,833582163	22,98686173
936	0,837760511	23,10208386
940	0,841959803	23,21788354
944	0,85042164	23,45122714
948	0,85896852	23,6869159
952	0,863274117	23,80564706
956	0,867601297	23,92497336
960	0,871950166	24,04489779
964	0,872822553	24,06895471
968	0,873695812	24,0930357
972	0,874569945	24,11714079
976	0,875444952	24,14126999
980	0,876320835	24,16542334
984	0,876320835	24,16542334
988	0,876320835	24,16542334
992	0,876320835	24,16542334
996	0,876320835	24,16542334
1000	0,876320835	24,16542334
