6	Kopfzeilen		Stand 25.03.2019																						
																									
Zusammenstellung der Parameter fuer die Nutzung des Programmes Phantom Builder ab Version 2.4 B.H.Herrmann 2018
																									
a Melamin	b Melanin	Wellenlaenge	ua H2O	Wellenlaenge	ua Fett	Wellenlaenge	ua HbO2	Wellenlaenge	ua Hb	Wellenlaenge	ua metHb	Wellenlaenge	ua COHb	Wellenlaenge	ua SHb	Wellenlaenge	ext Bilirubin	Wellenlaenge	ext Beta-Carotin	Wellenlaenge	g	Wellenlaenge	Chlorophyll A	Wellenlaenge	Xyz
Faktor	Exponent	nm	cm-1	nm	cm-1	nm	cm-1	nm	cm-1	nm	cm-1	nm	cm-1	nm	cm-1	nm	Koeffizient	nm	Koeffizient	nm	Faktor	nm	cm-1*	nm	cm-1
5.19E+02	-3.75	200	0.0307	429	0.0828	250	568.3161302	250	603.7930419	450	203.4093631	450	49.26690604	450	110.6188415	239.75	17201	219.75	860668	380	0.48	220	50.71428571	0	0
		210	0.0199	430	0.08216	252	565.3168744	252	603.7930419	455	192.4661386	455	43.51512191	455	94.8448517	240	16068	220	866938	400	0.55	230	42.85714286	1000	0
		220	0.0131	431	0.08158	254	576.6069302	254	603.7930419	460	182.6507381	460	38.60193513	460	76.23057249	240.25	18569	220.25	873995	450	0.67	240	29.28571429		
		230	0.00927	432	0.08069	256	588.0041023	256	609.6201674	465	176.1249788	465	34.94294627	465	64.18705542	240.5	16903	220.5	887102	500	0.78	250	20.71428571		
		240	0.0072	433	0.07927	258	604.9070512	258	616.1328372	470	169.8319938	470	32.21041257	470	57.91417509	240.75	17803	220.75	901199	550	0.83	260	17.14285714		
		250	0.00559	434	0.07832	260	623.2882047	260	622.8597395	475	166.4369417	475	29.82548433	475	53.53943384	241	17777	221	914067	600	0.87	270	17.85714286		
		260	0.00457	435	0.07721	262	643.7045674	262	629.6509116	480	170.8493612	480	28.44520295	480	51.47849456	241.25	17727	221.25	931100	650	0.885	280	18.57142857		
		270	0.00373	436	0.07652	264	666.3275256	264	636.6777395	485	177.225041	485	27.19436546	485	50.54327738	241.5	18609	221.5	952260	700	0.895	290	16.42857143		
		280	0.00288	437	0.07623	266	689.2718326	266	643.8116837	490	185.402264	490	26.41945576	490	50.09991502	241.75	17730	221.75	984395	750	0.905	300	15.71428571		
		290	0.00215	438	0.0756	268	712.6660279	268	650.9670512	495	191.3620381	495	26.25027471	495	50.91389944	242	17525	222	1006829	800	0.91	310	17.85714286		
		300	0.00141	439	0.07474	270	728.754893	270	658.1224186	500	194.7294092	500	26.6967296	500	52.08119165	242.25	17575	222.25	1032650	850	0.92	320	19.28571429		
		310	0.00105	440	0.07383	272	734.9890605	272	659.2792744	505	191.3620381	505	27.90223482	505	53.42513107	242.5	17601	222.5	1061133	900	0.925	330	17.85714286		
		320	0.000844	441	0.07244	274	741.2874977	274	653.1522233	510	183.1961726	510	29.92615727	510	54.65823172	242.75	17134	222.75	1081014	950	0.93	340	17.85714286		
		330	0.000678	442	0.07104	276	736.0173767	276	647.0251721	515	173.8557729	515	34.37013908	515	54.15252131	243	17096	223	1093143	1000	0.935	350	21.42857143		
		340	0.000561	443	0.07	278	727.4266512	278	641.8407442	520	163.8503712	520	41.98486822	520	49.73968388	243.25	16660	223.25	1101277	1001	0.935	360	27.14285714		
		350	0.000463	444	0.06899	280	706.6246698	280	636.6563163	525	155.032129	525	52.59985879	525	42.40342559	243.5	16587	223.5	1095588			370	34.28571429		
		360	0.000379	445	0.06811	282	684.0445581	282	629.9936837	530	147.6374676	530	63.01095831	530	33.19673578	243.75	16104	223.75	1087868			380	40.71428571		
		370	0.0003	446	0.06729	284	654.9089302	284	614.9545581	535	141.1256606	535	69.9215597	535	26.57055142	244	16569	224	1078608			390	55		
		380	0.00022	447	0.06659	286	623.9951721	286	599.8940093	540	133.6314153	540	71.08789691	540	26.83033233	244.25	15957	224.25	1055665			400	70		
		390	0.000191	448	0.06571	288	581.0201209	288	573.821907	545	123.4499691	545	67.41849202	545	35.94003462	244.5	15464	224.5	1019648			410	87.14285714		
		400	0.000171	449	0.06464	290	561.0322233	290	526.8192837	550	110.6055082	550	61.19540969	550	47.53672336	244.75	15799	224.75	984278			420	100		
		410	0.000162	450	0.06375	292	529.8828093	292	490.7853674	555	97.59944911	555	58.00385168	555	57.94880257	245	15298	225	942522			430	42.85714286		
		420	0.000153	451	0.06291	294	472.0400186	294	459.6359535	560	88.22735633	560	62.3462686	560	59.39666439	245.25	15237	225.25	897947			440	10.71428571		
		430	0.000144	452	0.0621	296	424.8017395	296	412.9332558	565	85.77701843	565	70.36125755	565	49.63231481	245.5	15224	225.5	847467			450	4.285714286		
		440	0.000145	453	0.06135	298	379.6415163	298	371.9291442	570	84.94774187	570	73.23195616	570	33.6400877	245.75	14719	225.75	802919			460	2.857142857		
		450	0.000145	454	0.06049	300	353.3337581	300	345.1286512	575	84.29370969	575	59.45207835	575	18.98143862	246	14475	226	750520			470	2.857142857		
		460	0.000156	455	0.0595	302	338.5302884	302	328.3113953	580	84.29370969	580	40.49812946	580	20.27687912	246.25	14582	226.25	704256			480	2.857142857		
		470	0.000156	456	0.05837	304	331.803386	304	315.0718233	585	81.22412615	585	23.40462942	585	39.06436743	246.5	14448	226.5	657528			490	3.571428571		
		480	0.000176	457	0.05751	306	333.9457116	306	304.7886605	590	76.58231772	590	13.76870465	590	58.69005311	246.75	13997	226.75	612101			500	5		
		490	0.000196	458	0.05663	308	336.6450419	308	308.602	595	71.45683269	595	8.24913069	595	67.79629881	247	14146	227	568332			510	5.714285714		
		500	0.000257	459	0.05593	310	339.3015256	310	316.8285302	600	68.97218276	600	5.349055743	600	71.54062761	247.25	13946	227.25	522203			520	5		
		510	0.000357	460	0.05523	312	353.3337581	312	333.388707	605	68.37322602	605	3.827384926	605	77.37014938	247.5	13730	227.5	483550			530	7.142857143		
		520	0.000477	461	0.05413	314	369.6368558	314	349.970307	610	68.37322602	610	2.843165874	610	85.90140453	247.75	13750	227.75	445839			540	7.142857143		
		530	0.000507	462	0.05288	316	387.7823535	316	365.8663628	615	69.57638231	615	2.199555325	615	96.9577444	248	13526	228	410271			550	5		
		540	0.000558	463	0.05144	318	404.5567628	318	381.3768	620	74.49341317	620	1.7722068	620	102.8600024	248.25	13226	228.25	376478			560	5.714285714		
		550	0.000638	464	0.04985	320	421.7810605	320	399.050986	625	79.30125023	625	1.480582469	625	98.96672949	248.5	13349	228.5	346892			570	5.714285714		
		560	0.000708	465	0.04846	322	440.5478326	322	419.2745395	630	82.24002497	630	1.240913797	630	88.70012314	248.75	13221	228.75	317864			580	4.285714286		
		570	0.000799	466	0.0472	324	460.4500372	324	439.498093	635	81.16124514	635	1.04346265	635	74.96283633	249	12850	229	291931			590	5		
		580	0.00108	467	0.04594	326	480.9306698	326	458.4148279	640	73.93100021	640	0.880128185	640	61.50955174	249.25	13251	229.25	267330			600	7.857142857		
		590	0.00157	468	0.04513	328	502.2039628	328	474.0752279	645	58.23314862	645	0.765842575	645	50.88272673	249.5	12845	229.5	244432			610	7.857142857		
		600	0.00244	469	0.04434	330	522.2561302	330	486.6078326	650	41.90804804	650	0.674257022	650	44.66873378	249.75	12552	229.75	224462			620	6.428571429		
		610	0.00289	470	0.04327	332	540.7444	332	499.119014	655	28.28621288	655	0.616463563	655	39.97185987	250	12249	230	206460			630	5.714285714		
		620	0.00309	471	0.04208	334	554.3481674	334	511.6516186	660	19.85212114	660	0.558670104	660	35.82227147	250.25	12282	230.25	189372			640	10.71428571		
		630	0.00319	472	0.04084	336	562.1890791	336	534.467386	665	14.16738443	665	0.500876645	665	31.85625589	250.5	12169	230.5	174797			650	22.14285714		
		640	0.00329	473	0.03961	338	570.137107	338	559.5540186	670	10.19300633	670	0.443083186	670	29.01250501	250.75	12227	230.75	162312			660	29.28571429		
		650	0.00349	474	0.03843	340	577.8066326	340	580.9558512	675	7.582805362	675	0.385289727	675	26.66407148	251	11836	231	149431			670	20		
		660	0.004	475	0.03732	342	584.1050698	342	594.4739256	680	6.445304657	680	0.269702809	680	25.12615995	251.25	11768	231.25	139577			680	5		
		670	0.0043	476	0.03635	344	589.6322698	344	608.0134233	685	5.492369906	685	0.260070566	685	23.71987108	251.5	11571	231.5	129411			690	1.428571429		
		680	0.0045	477	0.03534	346	583.955107	346	621.5529209	690	5.038605211	690	0.250438322	690	22.38978527	251.75	11241	231.75	119268			700	0.714285714		
		690	0.005	478	0.03452	348	578.342214	348	636.0136186	695	4.832194391	695	0.240806079	695	21.38182928	252	11227	232	111778			710	0		
		700	0.00624	479	0.03386	350	570.8012279	350	653.9020372	700	4.699020095	700	0.231173836	700	20.20761232	252.25	11161	232.25	104297						
		705	0.00704	480	0.03315	352	562.5746977	352	671.8118791	704	4.605973263	705	0.221541593	705	19.50793157	252.5	11017	232.5	97028						
		710	0.00827	481	0.03261	354	555.3764837	354	689.7002977	708	4.652264064	710	0.202277107	710	18.74590363	252.75	11029	232.75	91749						
		715	0.01007	482	0.03192	356	543.9793116	356	707.6101395	712	4.675583635	715	0.196147497	715	18.01504835	253	11063	233	85840						
		720	0.01231	483	0.03109	358	523.9485674	358	715.7081302	716	4.699020095	720	0.190017888	720	17.29112103	253.25	10785	233.25	82467						
		725	0.01489	484	0.03013	360	507.4312372	360	722.7135349	720	4.793946598	725	0.183888279	725	16.84775931	253.5	10687	233.5	78359						
		730	0.0186	485	0.02919	362	494.0631256	362	728.6263535	724	4.939944007	730	0.177758669	730	16.40439699	253.75	10564	233.75	74180						
		735	0.0238	486	0.02832	364	481.1449023	364	733.5965488	728	5.039737496	735	0.17162906	735	16.1827161	254	10473	234	71820						
		740	0.02548	487	0.0275	366	473.9038419	366	738.5667442	732	5.298130363	740	0.165499451	740	15.91254196	254.25	10337	234.25	68532						
		745	0.02716	488	0.02676	368	468.6979907	368	743.6869023	736	5.405159696	745	0.159369842	745	15.5176729	254.5	10342	234.5	65721						
