R. C. Smith and K. S. Baker, "Optical properties of the clearest natural
waters (200­800nm)," Appl. Opt., 20, 177--184, (1981).

lambda	 absorption
 (nm) 	   (1/cm)   
200	 0.0307
210	 0.0199
220	 0.0131
230	 0.00927
240	 0.0072
250	 0.00559
260	 0.00457
270	 0.00373
280	 0.00288
290	 0.00215
300	 0.00141
310	 0.00105
320	 0.000844
330	 0.000678
340	 0.000561
350	 0.000463
360	 0.000379
370	 0.0003
380	 0.00022
390	 0.000191
400	 0.000171
410	 0.000162
420	 0.000153
430	 0.000144
440	 0.000145
450	 0.000145
460	 0.000156
470	 0.000156
480	 0.000176
490	 0.000196
500	 0.000257
510	 0.000357
520	 0.000477
530	 0.000507
540	 0.000558
550	 0.000638
560	 0.000708
570	 0.000799
580	 0.00108
590	 0.00157
600	 0.00244
610	 0.00289
620	 0.00309
630	 0.00319
640	 0.00329
650	 0.00349
660	 0.004
670	 0.0043
680	 0.0045
690	 0.005
700	 0.0065
710	 0.00839
720	 0.01169
730	 0.01799
740	 0.0238
750	 0.0247
760	 0.0255
770	 0.0251
780	 0.0236
790	 0.0216
800	 0.0207
