S. G. Warren, "Optical constants of ice from the ultraviolet to the
microwave," Appl. Opt., 23, 1026--1225, (1984).

This data is based on the revised 1995 data of Warren.
It was revised from the original data in the 1984
paper to account for misinterpretations of data by others.
It also includes new data from Kou.

lambda	 absorption
(nm) 	   (1/cm)   
4.430e1	 4.652e5
4.515e1	 4.833e5
4.603e1	 5.041e5
4.691e1	 5.266e5
4.782e1	 5.517e5
4.874e1	 5.809e5
4.968e1	 6.091e5
5.064e1	 6.212e5
5.161e1	 6.289e5
5.261e1	 6.364e5
5.362e1	 6.473e5
5.466e1	 6.674e5
5.571e1	 6.930e5
5.679e1	 7.196e5
5.788e1	 7.459e5
5.900e1	 7.795e5
6.014e1	 8.058e5
6.130e1	 8.296e5
6.248e1	 8.510e5
6.368e1	 8.705e5
6.491e1	 8.876e5
6.616e1	 9.081e5
6.744e1	 9.275e5
6.874e1	 9.413e5
7.007e1	 9.394e5
7.142e1	 9.316e5
7.280e1	 9.197e5
7.420e1	 9.028e5
7.563e1	 8.797e5
7.709e1	 8.561e5
7.858e1	 8.282e5
8.009e1	 7.996e5
8.164e1	 7.756e5
8.321e1	 7.548e5
8.482e1	 7.397e5
8.645e1	 7.110e5
8.812e1	 6.740e5
8.982e1	 6.043e5
9.155e1	 5.299e5
9.332e1	 4.809e5
9.512e1	 4.510e5
9.695e1	 4.279e5
9.882e1	 4.069e5
1.007e2	 3.837e5
1.027e2	 3.610e5
1.047e2	 3.340e5
1.067e2	 3.067e5
1.087e2	 2.866e5
1.108e2	 2.749e5
1.130e2	 2.659e5
1.151e2	 2.624e5
1.174e2	 2.603e5
1.196e2	 2.580e5
1.219e2	 2.469e5
1.243e2	 2.237e5
1.267e2	 1.978e5
1.291e2	 1.725e5
1.316e2	 1.703e5
1.342e2	 1.916e5
1.367e2	 2.403e5
1.394e2	 3.117e5
1.421e2	 3.501e5
1.448e2	 3.409e5
1.476e2	 2.827e5
1.504e2	 2.057e5
1.533e2	 1.562e5
1.563e2	 9.867e4
1.593e2	 3.771e4
1.624e2	 8.932e3
1.655e2	 1.952e3
1.687e2	 4.142e2
1.720e2	 8.557e1
1.753e2	 1.705e1
1.787e2	 3.304e0
1.821e2	 6.055e-1
1.856e2	 1.042e-1
1.892e2	 5.893e-2
1.929e2	 4.069e-2
1.966e2	 2.972e-2
2.004e2	 2.351e-2
2.042e2	 1.942e-2
2.082e2	 1.627e-2
2.122e2	 1.397e-2
2.163e2	 1.236e-2
2.204e2	 1.118e-2
2.247e2	 1.002e-2
2.290e2	 9.051e-3
2.334e2	 8.268e-3
2.379e2	 7.700e-3
2.425e2	 7.249e-3
2.472e2	 6.872e-3
2.520e2	 6.623e-3
2.568e2	 6.473e-3
2.618e2	 6.318e-3
2.668e2	 6.151e-3
2.720e2	 5.968e-3
2.772e2	 5.760e-3
2.826e2	 5.508e-3
2.880e2	 5.214e-3
2.936e2	 4.923e-3
2.993e2	 4.643e-3
3.050e2	 4.158e-3
3.109e2	 3.710e-3
3.169e2	 3.391e-3
3.230e2	 3.136e-3
3.292e2	 2.936e-3
3.356e2	 2.725e-3
3.421e2	 2.503e-3
3.487e2	 2.255e-3
3.554e2	 1.964e-3
3.622e2	 1.686e-3
3.692e2	 1.428e-3
3.764e2	 1.225e-3
3.836e2	 1.085e-3
3.910e2	 9.924e-4
3.986e2	 9.021e-4
4.062e2	 8.109e-4
4.141e2	 7.296e-4
4.221e2	 6.614e-4
4.302e2	 6.065e-4
4.385e2	 5.543e-4
4.470e2	 4.621e-4
4.556e2	 4.232e-4
4.644e2	 4.164e-4
4.733e2	 4.194e-4
4.824e2	 4.359e-4
4.918e2	 4.606e-4
5.012e2	 4.857e-4
5.109e2	 5.290e-4
5.208e2	 5.503e-4
5.308e2	 6.083e-4
5.410e2	 6.848e-4
5.515e2	 7.146e-4
5.621e2	 7.461e-4
5.730e2	 8.043e-4
5.840e2	 9.380e-4
5.953e2	 1.121e-3
6.067e2	 1.344e-3
6.184e2	 1.685e-3
6.304e2	 2.086e-3
6.425e2	 2.485e-3
6.549e2	 2.954e-3
6.676e2	 3.447e-3
6.804e2	 3.883e-3
6.936e2	 4.653e-3
7.069e2	 5.804e-3
7.206e2	 7.054e-3
7.345e2	 7.815e-3
7.486e2	 9.619e-3
7.631e2	 1.237e-2
7.778e2	 1.586e-2
7.928e2	 1.938e-2
8.081e2	 2.159e-2
8.237e2	 2.193e-2
8.395e2	 2.256e-2
8.557e2	 2.948e-2
8.722e2	 4.025e-2
8.891e2	 5.461e-2
9.062e2	 6.029e-2
9.237e2	 6.631e-2
9.415e2	 7.477e-2
9.597e2	 9.813e-2
9.782e2	 1.390e-1
9.970e2	 1.926e-1
1.016e3	 2.663e-1
1.036e3	 2.827e-1
1.056e3	 2.433e-1
1.076e3	 2.062e-1
1.097e3	 1.958e-1
1.118e3	 2.033e-1
1.140e3	 2.473e-1
1.162e3	 3.420e-1
1.184e3	 5.468e-1
1.207e3	 8.337e-1
1.230e3	 1.156e0
1.254e3	 1.305e0
1.278e3	 1.311e0
1.303e3	 1.271e0
1.328e3	 1.249e0
1.353e3	 1.300e0
1.380e3	 1.435e0
1.406e3	 2.045e0
1.433e3	 8.920e0
1.461e3	 2.483e1
1.489e3	 4.461e1
1.518e3	 4.161e1
1.547e3	 3.469e1
1.577e3	 2.591e1
1.607e3	 2.028e1
1.638e3	 1.809e1
1.670e3	 1.506e1
1.702e3	 1.260e1
1.735e3	 1.083e1
1.768e3	 9.857e0
1.803e3	 9.089e0
1.837e3	 8.412e0
1.873e3	 1.050e1
1.909e3	 3.217e1
1.946e3	 7.522e1
1.983e3	 1.030e2
2.022e3	 9.718e1
2.061e3	 7.857e1
2.100e3	 4.945e1
2.141e3	 2.696e1
2.182e3	 1.706e1
2.224e3	 1.271e1
2.267e3	 1.227e1
2.311e3	 1.770e1
2.355e3	 2.595e1
2.401e3	 3.104e1
2.447e3	 3.497e1
2.494e3	 3.975e1
2.542e3	 4.199e1
2.591e3	 4.562e1
2.641e3	 9.237e1
2.692e3	 2.139e2
2.744e3	 5.087e2
2.797e3	 1.233e3
2.851e3	 3.121e3
2.906e3	 8.233e3
2.962e3	 1.428e4
3.019e3	 2.029e4
3.078e3	 2.548e4
3.137e3	 1.946e4
3.197e3	 1.147e4
3.259e3	 5.943e3
3.322e3	 3.166e3
3.386e3	 1.635e3
3.451e3	 8.675e2
3.518e3	 5.081e2
3.586e3	 3.311e2
3.655e3	 2.635e2
3.725e3	 2.333e2
3.797e3	 2.220e2
3.870e3	 2.384e2
3.945e3	 2.767e2
4.021e3	 3.094e2
4.099e3	 3.402e2
4.178e3	 3.885e2
4.258e3	 4.533e2
4.340e3	 5.664e2
4.424e3	 7.078e2
4.509e3	 8.090e2
4.596e3	 7.339e2
4.685e3	 5.233e2
4.775e3	 4.157e2
4.868e3	 3.525e2
4.961e3	 3.128e2
5.057e3	 3.053e2
5.155e3	 3.166e2
5.254e3	 3.328e2
5.355e3	 3.821e2
5.459e3	 4.542e2
5.564e3	 5.526e2
5.671e3	 7.011e2
5.781e3	 9.147e2
5.892e3	 1.229e3
6.006e3	 1.362e3
6.122e3	 1.433e3
6.240e3	 1.355e3
6.360e3	 1.234e3
6.483e3	 1.091e3
6.608e3	 1.058e3
6.735e3	 1.078e3
6.865e3	 1.047e3
6.998e3	 9.985e2
7.132e3	 9.690e2
7.270e3	 9.255e2
7.410e3	 8.818e2
7.553e3	 8.651e2
7.699e3	 8.469e2
7.847e3	 7.867e2
7.999e3	 7.073e2
8.153e3	 6.209e2
8.310e3	 5.644e2
8.470e3	 5.776e2
8.634e3	 5.781e2
8.800e3	 5.839e2
8.970e3	 5.954e2
9.143e3	 6.090e2
9.319e3	 6.099e2
9.499e3	 6.073e2
9.682e3	 6.044e2
9.869e3	 6.150e2
1.006e4	 6.851e2
1.025e4	 8.542e2
1.045e4	 1.122e3
1.065e4	 1.623e3
1.086e4	 2.317e3
1.107e4	 3.035e3
1.128e4	 3.571e3
1.150e4	 3.936e3
1.172e4	 4.169e3
1.195e4	 4.323e3
1.218e4	 4.345e3
1.241e4	 4.273e3
1.265e4	 4.101e3
1.290e4	 3.866e3
1.314e4	 3.589e3
1.340e4	 3.252e3
1.366e4	 2.940e3
1.392e4	 2.621e3
1.419e4	 2.284e3
1.446e4	 1.955e3
1.474e4	 1.666e3
1.502e4	 1.447e3
1.531e4	 1.274e3
1.561e4	 1.149e3
1.591e4	 1.058e3
1.622e4	 9.839e2
1.653e4	 9.426e2
1.685e4	 8.835e2
1.717e4	 7.973e2
1.751e4	 7.039e2
1.784e4	 6.192e2
1.819e4	 5.453e2
1.854e4	 5.101e2
1.890e4	 4.807e2
1.926e4	 4.954e2
1.963e4	 4.771e2
2.001e4	 4.187e2
2.040e4	 3.412e2
2.079e4	 2.773e2
2.119e4	 2.375e2
2.160e4	 2.046e2
2.202e4	 1.763e2
2.244e4	 1.575e2
2.287e4	 1.494e2
2.331e4	 1.463e2
2.376e4	 1.457e2
2.422e4	 1.468e2
2.469e4	 1.483e2
2.517e4	 1.530e2
2.565e4	 1.595e2
2.615e4	 1.678e2
2.665e4	 1.801e2
2.716e4	 1.933e2
2.769e4	 2.075e2
2.822e4	 2.227e2
2.877e4	 2.385e2
2.932e4	 2.542e2
2.989e4	 2.709e2
3.046e4	 2.887e2
3.105e4	 3.079e2
3.165e4	 3.303e2
3.226e4	 3.544e2
3.288e4	 3.802e2
3.352e4	 4.135e2
3.416e4	 4.649e2
3.482e4	 5.273e2
3.549e4	 6.031e2
3.618e4	 6.721e2
3.687e4	 7.436e2
3.759e4	 8.231e2
3.831e4	 9.092e2
3.905e4	 9.830e2
3.980e4	 1.060e3
4.057e4	 1.135e3
4.135e4	 1.215e3
4.215e4	 1.298e3
4.296e4	 1.400e3
4.379e4	 1.534e3
4.464e4	 1.624e3
4.550e4	 1.757e3
4.638e4	 1.880e3
4.727e4	 1.816e3
4.818e4	 1.592e3
4.911e4	 1.431e3
5.006e4	 1.363e3
5.102e4	 1.310e3
5.201e4	 1.252e3
5.301e4	 1.186e3
5.403e4	 1.106e3
5.507e4	 9.485e2
5.614e4	 7.897e2
5.722e4	 6.475e2
5.832e4	 6.769e2
5.945e4	 7.609e2
6.059e4	 8.821e2
6.176e4	 9.594e2
6.295e4	 9.618e2
6.417e4	 9.584e2
6.541e4	 9.372e2
6.667e4	 8.927e2
6.795e4	 8.184e2
6.926e4	 7.505e2
7.060e4	 6.882e2
7.196e4	 6.308e2
7.335e4	 5.782e2
7.476e4	 5.300e2
7.621e4	 4.859e2
7.768e4	 4.364e2
7.917e4	 3.915e2
8.070e4	 3.513e2
8.226e4	 3.151e2
8.384e4	 2.892e2
8.546e4	 2.706e2
8.711e4	 2.537e2
8.879e4	 2.397e2
9.050e4	 2.264e2
9.225e4	 2.146e2
9.403e4	 2.035e2
9.584e4	 1.935e2
9.769e4	 1.848e2
9.957e4	 1.765e2
1.015e5	 1.701e2
1.035e5	 1.643e2
1.054e5	 1.587e2
1.075e5	 1.533e2
1.096e5	 1.481e2
1.117e5	 1.431e2
1.138e5	 1.383e2
1.160e5	 1.336e2
1.183e5	 1.290e2
1.205e5	 1.246e2
1.229e5	 1.199e2
1.252e5	 1.154e2
1.276e5	 1.111e2
1.301e5	 1.070e2
1.326e5	 1.030e2
1.352e5	 9.915e1
1.378e5	 9.545e1
1.404e5	 9.189e1
1.431e5	 8.846e1
1.459e5	 8.516e1
1.487e5	 8.198e1
1.516e5	 7.860e1
1.545e5	 7.512e1
1.575e5	 7.179e1
1.605e5	 6.860e1
1.636e5	 6.556e1
1.668e5	 6.265e1
1.700e5	 5.822e1
1.733e5	 5.399e1
1.766e5	 5.007e1
1.800e5	 4.623e1
1.835e5	 4.258e1
1.870e5	 3.923e1
1.906e5	 3.588e1
1.943e5	 3.267e1
1.981e5	 2.976e1
2.019e5	 2.732e1
2.058e5	 2.520e1
2.097e5	 2.325e1
2.138e5	 2.144e1
2.179e5	 1.977e1
2.221e5	 1.823e1
2.264e5	 1.683e1
2.308e5	 1.554e1
2.352e5	 1.435e1
2.398e5	 1.329e1
2.444e5	 1.233e1
2.491e5	 1.144e1
2.539e5	 1.066e1
2.588e5	 9.973e0
2.638e5	 9.329e0
2.689e5	 8.768e0
2.741e5	 8.273e0
2.793e5	 7.807e0
2.847e5	 7.435e0
2.902e5	 7.136e0
2.958e5	 6.849e0
3.015e5	 6.600e0
3.073e5	 6.382e0
3.133e5	 6.172e0
3.193e5	 5.974e0
3.255e5	 5.788e0
3.318e5	 5.608e0
3.382e5	 5.433e0
3.447e5	 5.263e0
3.513e5	 5.099e0
3.581e5	 4.941e0
3.650e5	 4.789e0
3.720e5	 4.642e0
3.792e5	 4.499e0
3.865e5	 4.360e0
3.940e5	 4.226e0
4.016e5	 4.095e0
4.093e5	 3.968e0
4.172e5	 3.844e0
4.253e5	 3.724e0
4.335e5	 3.608e0
4.418e5	 3.496e0
4.504e5	 3.388e0
4.590e5	 3.284e0
4.679e5	 3.183e0
4.769e5	 3.085e0
4.861e5	 2.990e0
4.955e5	 2.898e0
5.050e5	 2.808e0
5.148e5	 2.721e0
5.247e5	 2.637e0
5.348e5	 2.555e0
5.452e5	 2.475e0
5.557e5	 2.398e0
5.664e5	 2.324e0
5.773e5	 2.253e0
5.884e5	 2.184e0
5.998e5	 2.117e0
6.114e5	 2.052e0
