nm	g
500	7.8590E-01
510	7.9924E-01
520	8.1148E-01
530	8.2268E-01
540	8.3289E-01
550	8.4219E-01
560	8.5062E-01
570	8.5824E-01
580	8.6512E-01
590	8.7129E-01
600	8.7682E-01
610	8.8175E-01
620	8.8612E-01
630	8.8999E-01
640	8.9340E-01
650	8.9639E-01
660	8.9899E-01
670	9.0126E-01
680	9.0323E-01
690	9.0492E-01
700	9.0638E-01
710	9.0764E-01
720	9.0872E-01
730	9.0966E-01
740	9.1048E-01
750	9.1120E-01
760	9.1186E-01
770	9.1246E-01
780	9.1303E-01
790	9.1359E-01
800	9.1415E-01
810	9.1473E-01
820	9.1534E-01
830	9.1599E-01
840	9.1668E-01
850	9.1744E-01
860	9.1825E-01
870	9.1913E-01
880	9.2007E-01
890	9.2108E-01
900	9.2216E-01
910	9.2330E-01
920	9.2450E-01
930	9.2574E-01
940	9.2703E-01
950	9.2834E-01
960	9.2968E-01
970	9.3102E-01
980	9.3235E-01
990	9.3365E-01
1000	9.3490E-01
